satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Department,salary
0.38,0.53,2,157,3,sales,low
0.8,0.86,5,262,6,sales,medium
0.11,0.88,7,272,4,sales,medium
0.72,0.87,5,223,5,sales,low
0.37,0.52,,159,3,sales,low
0.41,0.5,,153,3,sales,low
0.1,0.77,,247,4,sales,low
0.92,0.85,,259,5,sales,low
0.89,1,,224,,sales,low
0.42,0.53,,142,3,sales,low
0.45,0.54,,135,,sales,low
0.11,0.81,,305,,sales,low
0.84,0.92,,234,,sales,low
0.41,0.55,,148,,sales,low
0.36,0.56,,137,,sales,low
0.38,0.54,,143,,sales,low
0.45,0.47,,160,,sales,low
0.78,0.99,,255,,sales,low
0.45,0.51,,160,,sales,low
0.76,0.89,,262,,sales,low
0.11,0.83,,282,,sales,low
0.38,0.55,,147,,sales,low
0.09,0.95,,304,,sales,low
0.46,0.57,,139,,sales,low
0.4,0.53,,158,,sales,low
0.89,0.92,,242,,sales,low
0.82,0.87,,239,,sales,low
0.4,0.49,2,135,,sales,low
0.41,0.46,2,128,3,accounting,low
0.38,0.5,2,132,3,accounting,low
0.09,0.62,6,294,4,accounting,low
0.45,0.57,2,134,3,hr,low
0.4,0.51,2,145,3,hr,low
0.45,0.55,2,140,3,hr,low
0.84,0.87,4,246,,hr,low
0.1,0.94,6,255,,technical,low
0.38,0.46,2,137,,technical,low
0.45,0.5,2,126,,technical,low
0.11,0.89,6,306,,technical,low
0.41,0.54,2,152,,technical,low
0.87,0.88,5,269,,technical,low
0.45,0.48,2,158,,technical,low
0.4,0.46,2,127,,technical,low
0.1,0.8,7,281,,technical,low
0.09,0.89,6,276,,technical,low
0.84,0.74,3,182,,technical,low
0.4,0.55,2,147,,support,low
0.57,0.7,3,273,,support,low
0.4,0.54,2,148,,support,low
0.43,0.47,2,147,,support,low
0.13,0.78,6,152,,support,low
0.44,0.55,2,135,,support,low
0.38,0.55,2,134,,support,low
0.39,0.54,2,132,,support,low
0.1,0.92,7,307,,support,low
0.37,0.46,2,140,3,support,low
0.11,0.94,7,255,4,support,low
0.1,0.81,6,309,4,technical,low
0.38,0.54,2,128,3,technical,low
0.85,1,4,225,,technical,low
0.85,0.91,5,226,,management,medium
0.11,0.93,7,308,,IT,medium
0.1,0.95,6,244,,IT,medium
0.36,0.56,2,132,,IT,medium
0.11,0.94,6,286,,IT,medium
0.81,0.7,6,161,,IT,medium
0.43,0.54,2,153,,product_mng,medium
0.9,0.98,4,264,,product_mng,medium
0.76,0.86,5,223,,product_mng,medium
0.43,0.5,2,135,,product_mng,medium
0.74,0.99,2,277,,IT,medium
0.09,0.77,5,275,,product_mng,medium
0.45,0.49,2,149,,product_mng,high
0.09,0.87,7,295,,product_mng,low
0.11,0.97,6,277,,product_mng,medium
0.11,0.79,7,306,,product_mng,medium
0.1,0.83,6,295,,product_mng,medium
0.4,0.54,2,137,,marketing,medium
0.43,0.56,2,157,,sales,low
0.39,0.56,2,142,3,accounting,low
0.45,0.54,2,140,3,support,low
0.38,0.49,2,151,3,technical,low
0.79,0.59,4,139,,management,low
0.84,0.85,4,249,,marketing,low
0.11,0.77,6,291,,marketing,low
0.11,0.87,6,305,,marketing,low
0.17,0.84,5,232,,sales,low
0.44,0.45,2,132,,sales,low
0.37,0.57,2,130,,sales,low
0.1,0.79,6,291,,sales,low
0.4,0.5,2,130,,sales,low
0.89,1,5,246,,sales,low
0.42,0.48,2,143,,sales,low
0.46,0.55,2,129,,sales,low
0.09,0.83,6,255,,sales,low
0.37,0.51,2,155,,sales,low
0.1,0.77,6,265,,sales,low
0.1,0.84,6,279,,sales,low
0.11,0.97,6,284,,sales,low
0.9,1,5,221,,sales,medium
0.38,0.52,2,154,,sales,medium
0.36,0.52,2,147,,sales,medium
0.42,0.46,2,150,,sales,medium
0.09,0.94,7,267,,sales,medium
0.43,0.52,2,158,,sales,medium
0.24,0.46,7,224,5,accounting,medium
0.91,1,4,257,5,accounting,medium
0.44,0.5,2,148,3,accounting,medium
0.71,0.87,3,177,4,hr,medium
0.4,0.49,2,155,,hr,medium
0.43,0.47,2,144,,hr,medium
0.09,0.85,6,289,,hr,high
0.43,0.52,2,160,,technical,low
0.9,0.96,4,258,,technical,medium
0.84,1,5,234,,technical,medium
0.37,0.48,2,137,,technical,medium
0.86,0.68,5,263,,technical,medium
0.11,0.84,6,251,,technical,low
0.37,0.57,2,133,,technical,low
0.4,0.46,2,132,,technical,low
0.14,0.62,4,158,,technical,low
0.4,0.46,2,135,,technical,low
0.75,1,4,216,,technical,low
0.11,0.84,6,300,,support,low
0.46,0.49,2,138,3,support,low
0.11,0.92,6,260,4,support,low
0.38,0.49,2,132,3,support,low
0.7,0.89,3,183,,support,low
0.09,0.82,6,250,,support,low
0.37,0.45,2,151,,support,low
0.1,0.83,6,292,,support,low
0.38,0.57,2,140,,support,low
0.9,1,5,221,,support,low
0.44,0.51,2,138,,support,low
0.36,0.5,2,132,,technical,low
0.31,0.84,7,133,,technical,low
0.1,0.84,6,283,,technical,low
0.42,0.48,2,129,,management,low
0.74,1,4,249,,IT,low
0.73,0.87,5,257,,IT,low
0.09,0.96,6,245,,IT,low
0.45,0.53,2,155,,IT,low
0.11,0.8,6,256,,IT,low
0.37,0.47,2,152,,product_mng,low
0.84,0.99,4,267,,product_mng,low
0.41,0.46,2,151,,product_mng,low
0.76,0.92,4,239,,product_mng,low
0.11,0.87,6,306,,IT,low
0.84,0.88,4,263,,marketing,low
0.39,0.5,2,147,,marketing,low
0.11,0.91,6,278,,marketing,low
0.45,0.56,2,154,3,marketing,low
0.37,0.52,2,143,3,marketing,low
0.4,0.52,2,155,3,marketing,low
0.39,0.48,2,160,3,sales,low
0.11,0.8,6,304,4,accounting,low
0.83,1,5,240,5,support,low
0.11,0.92,6,305,4,technical,low
0.39,0.5,2,136,3,management,low
0.45,0.45,2,132,3,marketing,low
0.1,0.95,7,301,4,marketing,low
0.9,0.98,5,243,6,marketing,low
0.45,0.51,2,147,3,sales,low
0.79,0.89,5,239,5,sales,low
0.9,0.99,5,260,,sales,low
0.11,0.84,7,296,,sales,low
0.43,0.55,2,129,,sales,low
0.31,0.54,5,132,,sales,low
0.32,0.5,2,135,,sales,low
0.45,0.57,2,158,,sales,low
0.81,0.99,4,259,,sales,low
0.41,0.46,2,160,,sales,low
0.11,0.78,7,278,,sales,low
0.1,0.88,6,284,,sales,low
0.7,0.53,2,274,,sales,low
0.54,0.74,4,164,,sales,low
0.41,0.48,2,148,,sales,low
0.38,0.5,2,140,,sales,medium
0.37,0.51,2,127,,sales,medium
0.11,0.85,6,308,,sales,medium
0.4,0.47,2,146,,sales,medium
0.1,0.84,6,261,,accounting,medium
0.89,0.99,5,257,,accounting,medium
0.11,0.8,6,285,,accounting,medium
0.36,0.55,2,141,,hr,medium
0.4,0.46,2,127,,hr,medium
0.09,0.85,6,297,,hr,medium
0.4,0.46,2,143,,hr,medium
0.37,0.55,2,152,,technical,medium
0.44,0.51,2,156,3,technical,high
0.09,0.8,7,283,5,technical,low
0.92,0.87,4,226,6,technical,medium
0.74,0.91,4,232,5,technical,medium
0.09,0.82,6,249,4,technical,medium
0.89,0.95,4,275,5,technical,medium
0.09,0.8,6,304,4,technical,low
0.27,0.54,7,278,,technical,low
0.1,0.91,6,287,,technical,low
0.1,0.89,7,285,,technical,low
0.77,0.94,5,226,,support,low
0.9,0.82,5,259,,support,low
0.39,0.5,2,135,,support,low
0.76,1,5,219,,support,low
0.1,0.93,6,256,,support,low
0.87,0.9,5,254,,support,low
0.38,0.5,2,153,,support,low
0.77,0.99,5,228,,support,low
0.78,0.87,4,228,,support,low
0.44,0.5,2,128,,support,low
0.38,0.52,2,153,,support,low
0.43,0.46,2,156,,technical,low
0.39,0.5,4,294,,technical,low
0.88,1,5,219,,technical,low
0.45,0.46,2,153,,management,low
0.4,0.53,2,151,,IT,low
0.36,0.51,2,155,,IT,low
0.36,0.48,2,158,,IT,low
0.9,0.98,5,245,,IT,low
0.43,0.53,2,131,,IT,low
0.89,0.87,5,225,,product_mng,low
0.1,0.84,6,286,,product_mng,low
0.37,0.5,2,135,,product_mng,low
0.37,0.51,2,153,,product_mng,low
0.87,0.9,5,252,,IT,low
0.4,0.56,2,149,3,accounting,low
0.9,0.97,4,258,5,accounting,low
0.37,0.46,2,158,3,hr,low
0.44,0.54,2,149,3,hr,low
0.85,0.95,5,236,5,hr,low
0.78,0.98,5,239,6,marketing,low
0.42,0.47,2,159,3,marketing,low
0.92,0.99,5,255,6,sales,low
0.11,0.83,6,244,4,accounting,low
0.42,0.56,2,134,3,support,low
0.48,0.57,4,270,4,technical,low
0.83,0.85,4,255,5,management,low
0.4,0.53,2,151,3,marketing,low
0.43,0.45,2,135,3,marketing,low
